selection,parameter,value,unit,source_type,source_detail,code_path,line,declaration_kind
selected,AstrocyteAgent.agent_id,AS_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,10,class/dataclass default
selected,AstrocyteAgent.reactivity,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,11,class/dataclass default
selected,AstrocyteAgent.glutamate_uptake,0.8,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,12,class/dataclass default
selected,AstrocyteAgent.calcium_wave,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,13,class/dataclass default
selected,AstrocyteAgent.step.abeta_concentration,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,15,public method default
selected,AstrocyteAgent.step.cytokine_level,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,15,public method default
selected,AstrocyteAgent.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,15,public method default
selected,EndothelialAgent.agent_id,EC_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,32,class/dataclass default
selected,EndothelialAgent.bbb_integrity,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,33,class/dataclass default
selected,EndothelialAgent.tight_junction_strength,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,34,class/dataclass default
selected,EndothelialAgent.abeta_transport_rate,0.5,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,35,class/dataclass default
selected,EndothelialAgent.ABETA_TJ_COEFF,0.04,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,40,class/dataclass default
selected,EndothelialAgent.TNF_INTEGRITY_COEFF,0.1,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,43,class/dataclass default
selected,EndothelialAgent.IL10_PROTECTION_COEFF,0.06,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,46,class/dataclass default
selected,EndothelialAgent.TJ_REPAIR_RATE,0.01,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,48,class/dataclass default
selected,EndothelialAgent.LRP1_BASELINE,0.6,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,51,class/dataclass default
selected,EndothelialAgent.RAGE_INFLUX_COEFF,0.3,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,54,class/dataclass default
selected,EndothelialAgent.step.abeta_concentration,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,58,public method default
selected,EndothelialAgent.step.tnf_alpha,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,59,public method default
selected,EndothelialAgent.step.il10,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,60,public method default
selected,EndothelialAgent.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,61,public method default
selected,MicrogliaAgent.agent_id,MG_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/microglia.py,25,class/dataclass default
selected,MicrogliaAgent.nfkb_activity,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/microglia.py,27,class/dataclass default
selected,MicrogliaAgent.phagocytosis_rate,0.3,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/microglia.py,28,class/dataclass default
selected,MicrogliaAgent.step.abeta_concentration,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/microglia.py,31,public method default
selected,MicrogliaAgent.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/microglia.py,31,public method default
selected,GENE_MAP.ABCA7,0.45,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.ADAM10,0.35,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.APOE4,0.9,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.APP,1.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.BIN1,0.5,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.CD33,0.4,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.CLU,0.55,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.MAPT,0.85,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.PSEN1,0.8,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.PSEN2,0.6,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.SORL1,0.65,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,GENE_MAP.TREM2,0.7,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,11,module mapping entry
selected,NeuronAgent.agent_id,N_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,21,class/dataclass default
selected,NeuronAgent.viability,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,22,class/dataclass default
selected,NeuronAgent.calcium,0.1,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,23,class/dataclass default
selected,NeuronAgent.tau_phosphorylation,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,24,class/dataclass default
selected,NeuronAgent.step.abeta_concentration,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,27,public method default
selected,NeuronAgent.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/neuron.py,27,public method default
selected,OligodendrocyteAgent.agent_id,OL_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,38,class/dataclass default
selected,OligodendrocyteAgent.myelination_capacity,0.8,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,40,class/dataclass default
selected,OligodendrocyteAgent.myelin_integrity,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,41,class/dataclass default
selected,OligodendrocyteAgent._maturation_progress,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,43,class/dataclass default
selected,OligodendrocyteAgent.ABETA_MYELINATION_COEFF,0.05,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,48,class/dataclass default
selected,OligodendrocyteAgent.CALCIUM_INTEGRITY_COEFF,0.08,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,51,class/dataclass default
selected,OligodendrocyteAgent.TNF_MATURATION_INHIBITION,0.7,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,54,class/dataclass default
selected,OligodendrocyteAgent.BASE_MATURATION_RATE,0.02,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,56,class/dataclass default
selected,OligodendrocyteAgent.OPC_TO_PRE_OL_THRESHOLD,0.4,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,58,class/dataclass default
selected,OligodendrocyteAgent.PRE_OL_TO_MATURE_THRESHOLD,0.8,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,59,class/dataclass default
selected,OligodendrocyteAgent.step.abeta_concentration,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,63,public method default
selected,OligodendrocyteAgent.step.calcium_level,0.1,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,64,public method default
selected,OligodendrocyteAgent.step.tnf_alpha,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,65,public method default
selected,OligodendrocyteAgent.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/oligodendrocyte.py,66,public method default
selected,AbetaCalciumCoupling.k_abeta_ca,0.5,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_calcium.py,16,class/dataclass default
selected,AbetaCalciumCoupling.K_m,0.1,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_calcium.py,17,class/dataclass default
selected,AbetaCalciumCoupling.k_clearance,0.3,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_calcium.py,20,class/dataclass default
selected,AbetaCalciumCoupling.ca_rest,0.1,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_calcium.py,21,class/dataclass default
selected,AbetaMicrogliaCoupling.k_act,0.3,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_microglia.py,15,class/dataclass default
selected,AbetaMicrogliaCoupling.trem2_inhibition,0.2,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_microglia.py,16,class/dataclass default
selected,AbetaMicrogliaCoupling.k_nfkb_decay,0.2,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/abeta_microglia.py,19,class/dataclass default
selected,CalciumTauCoupling.k_phos_base,0.05,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/calcium_tau.py,15,class/dataclass default
selected,CalciumTauCoupling.alpha,2.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/calcium_tau.py,16,class/dataclass default
selected,CalciumTauCoupling.ca_threshold,0.2,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/calcium_tau.py,17,class/dataclass default
selected,CalciumTauCoupling.k_dephos,0.03,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/calcium_tau.py,20,class/dataclass default
selected,CascadeState.abeta_oligomer,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,20,class/dataclass default
selected,CascadeState.calcium,0.1,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,21,class/dataclass default
selected,CascadeState.p_tau,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,22,class/dataclass default
selected,CascadeState.viability,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,23,class/dataclass default
selected,CascadeState.nfkb,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,24,class/dataclass default
selected,CascadeState.microglia_state,M0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,25,class/dataclass default
selected,CascadeState.time,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,26,class/dataclass default
selected,CascadeState.abeta_production_rate,0.1,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,28,class/dataclass default
selected,CascadeState.abeta_clearance_rate,0.02,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,29,class/dataclass default
selected,CascadeState.k_tau_to_abeta,0.05,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,30,class/dataclass default
selected,ADCascade.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,68,public method default
selected,ADCascade.run.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,121,public method default
selected,ADCascade.run.steps,100,steps,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,121,public method default
selected,ADCascade.step_with_feedback.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,142,public method default
selected,ADCascade.run_with_feedback.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,202,public method default
selected,ADCascade.run_with_feedback.steps,100,steps,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/cascade.py,202,public method default
selected,MicrogliaNeuronCoupling.k_damage,0.05,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/microglia_neuron.py,16,class/dataclass default
selected,MicrogliaNeuronCoupling.k_protect,0.1,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/microglia_neuron.py,17,class/dataclass default
selected,TauNeuronCoupling.k_damage,0.1,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/tau_neuron.py,15,class/dataclass default
selected,TauNeuronCoupling.K_d,0.5,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/tau_neuron.py,16,class/dataclass default
selected,TauNeuronCoupling.n,2.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer2_pathology/coupling/tau_neuron.py,17,class/dataclass default
